Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL,Unusual
10:45,3BLTE,11.642,1.393,0.37,0.041,15.655,0.644,1.114,1.025,4,3,7,1
9:45,1BLTE,21.791,1.891,0.537,0.268,10.273,1.154,1.353,1.085,6,4,10,1
7:45,9BLTE,0.498,0.398,0.015,0.01,0.262,0.164,0.995,0.995,1,1,2,1
2:45,4ALTE,1.891,1.095,0.94,0.024,60.715,0.825,1.035,0.995,2,2,4,1
3:30,10BLTE,0.303,0.404,0.016,0.013,0.348,0.168,1.011,1.011,2,1,3,0
13:30,9ALTE,15.966,1.819,0.415,0.071,10.116,0.706,1.364,1.314,6,5,11,0
20:00,9BLTE,7.074,0.505,0.032,0.012,1.68,0.131,1.041,1.041,3,3,6,0
8:00,4BLTE,7.96,1.393,0.299,0.025,24.697,0.451,1.075,1.015,3,3,6,1
16:45,4CLTE,26.879,3.032,0.525,0.12,9.145,0.894,1.425,1.273,6,5,11,0
4:15,6CLTE,4.143,0.505,0.021,0.013,0.409,0.437,1.021,0.01,2,2,4,0
7:30,10BLTE,0.909,0.505,0.111,0.021,4.251,0.262,1.021,1.011,2,2,4,0
22:15,4BLTE,17.886,2.425,0.643,0.074,31.063,0.772,1.263,1.081,5,3,8,0
6:30,1BLTE,2.021,0.505,0.069,0.017,1.495,0.173,1.041,1.011,3,2,5,0
1:15,5CLTE,6.972,0.707,0.077,0.032,4.638,0.3,1.122,1.021,4,3,7,0
11:45,7BLTE,0.505,1.213,0.265,0.044,14.784,1.033,1.324,0.01,6,3,9,0
22:00,8CLTE,4.85,0.808,0.195,0.046,9.762,0.61,1.061,1.031,3,3,6,0
14:45,7ULTE,1.592,2.09,0.314,0.046,9.145,0.457,1.174,0.01,4,3,7,1
21:00,5CLTE,10.206,1.415,0.301,0.038,20.255,0.711,1.132,1.021,4,3,7,0
13:15,5CLTE,24.858,4.446,1.448,0.145,27.558,2.511,1.617,1.213,7,5,12,0
14:45,4CLTE,21.928,3.941,1.048,0.079,43.915,4.644,1.283,1.192,6,5,11,0
20:45,6WLTE,1.493,3.682,0.582,0.056,26.908,0.938,1.284,0.01,5,4,9,1
14:45,9BLTE,5.659,1.011,0.303,0.033,19.858,0.978,1.101,1.031,4,3,7,0
8:15,7VLTE,1.415,2.021,0.477,0.053,22.06,8.151,1.122,0.01,3,3,6,0
19:00,7WLTE,1.415,5.457,0.662,0.072,40.261,1.092,1.334,0.01,5,3,8,0
9:00,5ALTE,2.289,0.498,0.091,0.024,9.335,0.418,1.005,0.995,2,2,4,1
0:45,6ALTE,4.85,0.909,0.331,0.028,14.281,0.554,1.071,0.01,4,2,6,0
5:30,6ULTE,0.202,1.112,0.217,0.013,4.345,0.103,1.021,0.01,3,2,5,0
21:30,3CLTE,7.175,3.638,1.705,0.067,43.851,1.032,1.142,1.041,4,3,7,0
2:30,5BLTE,9.802,2.223,0.832,0.023,33.075,0.447,1.081,1.031,4,3,7,0
13:15,6WLTE,1.891,4.776,0.846,0.094,26.431,1.262,1.234,0.01,4,4,8,1
22:45,9BLTE,3.133,0.808,0.367,0.052,11.976,5.685,1.051,1.041,3,3,6,0
7:45,8ALTE,8.589,0.808,0.126,0.024,8.344,0.744,1.101,1.051,5,4,9,0
10:30,6CLTE,13.541,1.718,0.854,1.419,11.973,2.722,1.334,0.01,6,4,10,0
6:30,8BLTE,1.92,0.505,0.051,0.013,2.179,0.203,1.041,1.011,3,2,5,0
6:30,6BLTE,5.255,0.606,0.124,0.015,5.714,0.324,1.031,0.01,3,2,5,0
23:45,10CLTE,7.363,0.896,0.212,0.038,4.157,0.36,1.104,1.005,4,3,7,1
12:00,4ALTE,4.08,0.896,0.33,0.042,15.344,0.72,1.095,1.075,4,3,7,1
12:45,6CLTE,7.781,1.011,0.251,0.028,12.614,0.431,1.091,0.01,4,2,6,0
15:45,7CLTE,0.299,0.597,0.181,0.053,9.03,0.93,1.095,0.01,4,2,6,1
10:30,1BLTE,14.753,2.324,0.783,0.074,27.757,1.687,1.273,1.061,6,3,9,0
11:30,3BLTE,22.332,4.143,1.179,0.084,9.363,0.937,1.394,1.233,6,5,11,0
8:45,6CLTE,6.366,0.909,0.37,0.033,18.353,0.539,1.071,0.01,3,2,5,0
20:45,3BLTE,11.621,1.92,0.393,0.071,14.246,0.498,1.364,1.101,6,4,10,0
15:30,6ULTE,2.627,5.154,0.688,0.098,11.71,2.923,1.425,0.01,6,4,10,0
22:15,4BLTE,24.252,3.335,1.476,0.13,87.112,1.353,1.445,1.122,6,5,11,0
